sample_name	ampicillin_RIS	gentamicin_RIS	linezolid_RIS	quinupristin_dalfopristin_RIS	streptomycin_RIS	teicoplanin_RIS	tigecycline_RIS	vancomycin_RIS
1352.9938	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9939	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.994	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9941	I/R	NA	NA	NA	NA	NA	NA	S
1352.9942	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9943	I/R	NA	NA	NA	NA	NA	NA	S
1352.9944	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9945	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9946	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10045	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9947	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9949	I/R	NA	NA	NA	NA	NA	NA	S
1352.995	S	NA	NA	NA	NA	NA	NA	S
1352.9951	I/R	NA	NA	NA	NA	NA	NA	S
1352.9952	I/R	NA	NA	NA	NA	NA	NA	S
1352.9953	I/R	NA	NA	NA	NA	NA	NA	S
1352.9954	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9955	I/R	NA	NA	NA	NA	NA	NA	S
1352.9956	I/R	NA	NA	NA	NA	NA	NA	S
1352.9957	I/R	NA	NA	NA	NA	NA	NA	S
1352.9958	I/R	NA	NA	NA	NA	NA	NA	S
1352.9959	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.996	I/R	NA	NA	NA	NA	NA	NA	S
1352.9961	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9962	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.9948	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10181	I/R	NA	NA	NA	NA	NA	NA	S
1352.10046	I/R	NA	NA	NA	NA	NA	NA	S
1352.10048	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10146	I/R	NA	NA	NA	NA	NA	NA	S
1352.1014500000001	I/R	NA	NA	NA	NA	NA	NA	S
1352.10144	I/R	NA	NA	NA	NA	NA	NA	S
1352.10143	I/R	NA	NA	NA	NA	NA	NA	S
1352.10142	S	NA	NA	NA	NA	NA	NA	S
1352.10141	I/R	NA	NA	NA	NA	NA	NA	S
1352.1014	I/R	NA	NA	NA	NA	NA	NA	S
1352.10139	S	NA	NA	NA	NA	NA	NA	S
1352.10138	S	NA	NA	NA	NA	NA	NA	S
1352.10137	S	NA	NA	NA	NA	NA	NA	S
1352.1013600000001	S	NA	NA	NA	NA	NA	NA	S
1352.10135	S	NA	NA	NA	NA	NA	NA	S
1352.10134	I/R	NA	NA	NA	NA	NA	NA	S
1352.10133	I/R	NA	NA	NA	NA	NA	NA	S
1352.10132	S	NA	NA	NA	NA	NA	NA	S
1352.10131	S	NA	NA	NA	NA	NA	NA	S
1352.1013	I/R	NA	NA	NA	NA	NA	NA	S
1352.10129	S	NA	NA	NA	NA	NA	NA	S
1352.10128	S	NA	NA	NA	NA	NA	NA	S
1352.1012700000001	S	NA	NA	NA	NA	NA	NA	S
1352.10126	S	NA	NA	NA	NA	NA	NA	S
1352.10125	S	NA	NA	NA	NA	NA	NA	S
1352.10124	I/R	NA	NA	NA	NA	NA	NA	S
1352.10123	S	NA	NA	NA	NA	NA	NA	S
1352.10122	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10121	S	NA	NA	NA	NA	NA	NA	S
1352.1012	I/R	NA	NA	NA	NA	NA	NA	I/R
1352.10119	S	NA	NA	NA	NA	NA	NA	S
1352.10118	S	NA	NA	NA	NA	NA	NA	S
1352.10147	I/R	NA	NA	NA	NA	NA	NA	S
1352.10117	S	NA	NA	NA	NA	NA	NA	S
1352.10148	S	NA	NA	NA	NA	NA	NA	S
1352.1015	I/R	NA	NA	NA	NA	NA	NA	S
1352.10179	S	NA	NA	NA	NA	NA	NA	S
1352.10178	I/R	NA	NA	NA	NA	NA	NA	S
1352.10177	I/R	NA	NA	NA	NA	NA	NA	S
1352.10176	I/R	NA	NA	NA	NA	NA	NA	S
1352.10175	I/R	NA	NA	NA	NA	NA	NA	S
1352.10174	I/R	NA	NA	NA	NA	NA	NA	S
1352.10173	I/R	NA	NA	NA	NA	NA	NA	S
1352.10172	S	NA	NA	NA	NA	NA	NA	S
1352.10171	I/R	NA	NA	NA	NA	NA	NA	S
1352.1017	I/R	NA	NA	NA	NA	NA	NA	S
1352.10169	I/R	NA	NA	NA	NA	NA	NA	S
1352.10168	I/R	NA	NA	NA	NA	NA	NA	S
1352.10167	S	NA	NA	NA	NA	NA	NA	S
1352.10166	I/R	NA	NA	NA	NA	NA	NA	S
1352.10165	I/R	NA	NA	NA	NA	NA	NA	S
