sample_name	amoxicillin	ampicillin	ceftriaxone	ciprofloxacin	gentamicin	levofloxacin	tetracycline	tobramycin
562.65632	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65631	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65637	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6563	NA	resistant	NA	NA	NA	NA	NA	NA
562.65628	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65627	NA	resistant	NA	NA	NA	NA	NA	NA
562.65626	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65625	NA	resistant	NA	NA	NA	NA	NA	NA
562.65624	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65623	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65629	NA	resistant	NA	NA	NA	NA	NA	NA
562.65622	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65638	resistant	resistant	NA	NA	NA	NA	NA	NA
562.6564	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65654	NA	resistant	NA	NA	NA	NA	NA	NA
562.65653	NA	resistant	NA	NA	NA	NA	NA	NA
562.65652	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65651	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6565	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65649	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65639	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65648	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65646	NA	resistant	NA	NA	NA	NA	NA	NA
562.65645	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65644	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65643	NA	resistant	NA	NA	NA	NA	NA	NA
562.65642	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65641	NA	resistant	NA	NA	NA	NA	NA	NA
562.65647	NA	resistant	NA	NA	NA	NA	NA	NA
562.65621	NA	susceptible	NA	NA	NA	NA	NA	NA
562.6562	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65619	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65599	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65598	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65597	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65596	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65595	NA	resistant	NA	NA	NA	NA	NA	NA
562.65594	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.656	NA	resistant	NA	NA	NA	NA	NA	NA
562.65593	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65589	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65588	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65587	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65586	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65584	NA	resistant	NA	NA	NA	NA	NA	NA
562.6559	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65601	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65602	NA	resistant	NA	NA	NA	NA	NA	NA
562.65603	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65618	NA	resistant	NA	NA	NA	NA	NA	NA
562.65617	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65616	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65615	NA	resistant	NA	NA	NA	NA	NA	NA
562.65614	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65613	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65612	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65611	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.6561	NA	resistant	NA	NA	NA	NA	NA	NA
562.65609	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65608	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65607	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65606	NA	resistant	NA	NA	NA	NA	NA	NA
562.65605	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65604	NA	resistant	NA	NA	NA	NA	NA	NA
562.65655	NA	resistant	NA	NA	NA	NA	NA	NA
562.65583	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.65656	NA	resistant	NA	NA	NA	NA	NA	NA
562.65658	susceptible	susceptible	NA	NA	NA	NA	NA	NA
562.65709	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65708	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65707	NA	resistant	NA	NA	NA	NA	NA	NA
562.65706	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65705	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65704	susceptible	resistant	NA	NA	NA	NA	NA	NA
562.6571	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65703	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65701	NA	susceptible	NA	NA	NA	NA	NA	NA
562.657	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65699	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65698	NA	resistant	NA	NA	NA	NA	NA	NA
562.65697	NA	resistant	NA	NA	NA	NA	NA	NA
562.65696	NA	susceptible	NA	NA	NA	NA	NA	NA
562.65702	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65695	resistant	resistant	NA	NA	NA	NA	NA	NA
562.65711	NA	susceptible	NA	NA	NA	NA	NA	NA
