sample_name	cleaned_host
SRR29543295	cattle
SRR29543296	cattle
SRR29543297	cattle
SRR29543298	cattle
SRR29543299	cattle
SRR29543300	cattle
SRR29543301	cattle
SRR29543302	cattle
SRR29543303	cattle
SRR29543304	cattle
SRR29543305	cattle
SRR29543306	cattle
SRR29543307	cattle
SRR29543308	chicken
SRR29543309	cattle
SRR29543310	cattle
SRR29543311	cattle
SRR29543312	cattle
SRR29543313	cattle
SRR29543314	cattle
SRR29543315	cattle
SRR29543316	cattle
SRR29543317	cattle
SRR29543318	cattle
SRR29543319	cattle
SRR29543320	cattle
SRR29543321	cattle
SRR29543322	cattle
SRR29543323	cattle
SRR29543324	cattle
SRR29543325	cattle
SRR29543326	cattle
SRR29543327	cattle
SRR29543328	cattle
SRR29543329	cattle
SRR29543330	cattle
SRR29543331	cattle
SRR29543332	cattle
SRR29543333	cattle
SRR29543334	cattle
SRR29543335	cattle
SRR29543336	cattle
SRR29543337	cattle
SRR29543338	cattle
SRR29543339	cattle
SRR29543340	cattle
SRR29543341	cattle
SRR29543342	cattle
SRR29543343	cattle
SRR29543344	cattle
SRR29543345	cattle
SRR29543346	cattle
SRR29543347	cattle
SRR29543348	cattle
SRR29543349	cattle
SRR29543350	cattle
SRR29543351	cattle
SRR29543352	cattle
SRR29543353	cattle
SRR29543354	cattle
SRR29543355	cattle
SRR29543356	cattle
SRR29543357	cattle
SRR29543358	cattle
SRR29543359	cattle
SRR29543360	cattle
SRR29543361	cattle
SRR29543362	cattle
SRR29543363	cattle
SRR29543364	cattle
SRR29543365	cattle
SRR29543366	cattle
SRR29543367	cattle
SRR29543368	cattle
SRR29543369	cattle
SRR29543370	cattle
SRR29543371	cattle
SRR29543372	cattle
SRR29543373	cattle
SRR29543374	cattle
SRR29543375	turkey
SRR29543376	cattle
SRR29543377	cattle
SRR29543378	cattle
SRR29543379	cattle
SRR29543380	cattle
SRR29543381	turkey
SRR29543382	turkey
SRR29543383	turkey
SRR29543384	cattle
SRR29543385	cattle
SRR29543386	cattle
SRR29543387	cattle
SRR29543388	cattle
SRR29543389	cattle
SRR29543390	turkey
SRR29543391	turkey
SRR29543392	cattle
SRR29543393	cattle
SRR29543394	cattle
SRR29694475	cattle
SRR29694476	cattle
SRR29694477	cattle
SRR29694478	cattle
SRR29694479	cattle
SRR29694480	cattle
SRR29694481	cattle
SRR29694482	cattle
SRR29694483	cattle
SRR29694484	cattle
SRR29694485	cattle
SRR29694486	cattle
SRR29694487	cattle
SRR29694488	cattle
SRR29694489	cattle
SRR29694490	cattle
SRR29694491	cattle
SRR29694492	cat
SRR29694493	cat
SRR29694494	cattle
SRR29694495	turkey
SRR29694496	turkey
SRR29694497	cattle
SRR29694498	cattle
SRR29694499	cattle
SRR29694500	turkey
SRR29694501	turkey
SRR29694502	turkey
SRR29694503	turkey
SRR29694504	cattle
SRR29694505	cattle
SRR29694506	cattle
SRR29694507	cattle
SRR29694508	cattle
SRR29694509	cattle
SRR29694510	cattle
SRR29694511	cattle
SRR29694512	cattle
SRR29694513	cattle
SRR29694514	cattle
SRR29694515	cattle
SRR29694516	cattle
SRR29694517	cattle
SRR29694518	cattle
SRR29694519	cattle
SRR29694520	cattle
SRR29694521	turkey
SRR29694522	turkey
SRR29694523	cattle
SRR29694524	cattle
SRR29694525	cattle
SRR29694526	cattle
SRR29694527	cattle
SRR29694528	cattle
SRR29694529	cattle
SRR29694530	cattle
SRR29694531	cattle
SRR29694532	cattle
SRR29694533	cattle
SRR29694534	cattle
SRR29694535	cattle
SRR29694536	cattle
SRR29694537	cattle
SRR29694538	cattle
SRR29694539	cattle
SRR29694540	cattle
SRR29694541	cattle
SRR29694542	cattle
SRR29694543	cattle
SRR29694544	cattle
SRR29694545	cattle
SRR29694546	cattle
SRR29694547	cattle
SRR29694548	cattle
SRR29694549	cattle
SRR29694550	cattle
